case,variant,dim,N,h,field,L1,L2,Linf,rate_L2,rate_Linf
tet,GaussLinear,3D,10,0.0588235,Phi_e,,0.00218504,0.00252089,,
tet,GaussLinear,3D,20,0.030303,Phi_e,,0.000452585,0.000526379,2.37,2.36
tet,GaussLinear,3D,40,0.0151515,Phi_e,,0.000144319,0.000203492,1.65,1.37
tet,GaussLinear,3D,80,0.00757576,Phi_e,,8.25929e-05,0.000133574,0.81,0.61
tet,GaussLinear,3D,10,0.0588235,Vm,,0.0226497,0.112288,,
tet,GaussLinear,3D,20,0.030303,Vm,,0.0132014,0.0716694,0.81,0.68
tet,GaussLinear,3D,40,0.0151515,Vm,,0.0111927,0.0489698,0.24,0.55
tet,GaussLinear,3D,80,0.00757576,Vm,,0.01078,0.0392547,0.05,0.32
tet,leastSquares,3D,10,0.0588235,Phi_e,,0.00148055,0.00157984,,
tet,leastSquares,3D,20,0.030303,Phi_e,,0.000131304,0.000152283,3.65,3.53
tet,leastSquares,3D,40,0.0151515,Phi_e,,2.24358e-05,4.54273e-05,2.55,1.75
tet,leastSquares,3D,80,0.00757576,Phi_e,,7.62461e-06,8.43832e-06,1.56,2.43
tet,leastSquares,3D,10,0.0588235,Vm,,0.0108437,0.0571532,,
tet,leastSquares,3D,20,0.030303,Vm,,0.002838,0.0188727,2.02,1.67
tet,leastSquares,3D,40,0.0151515,Vm,,0.000681616,0.00710122,2.06,1.41
tet,leastSquares,3D,80,0.00757576,Vm,,0.000166591,0.00186169,2.03,1.93
